"Entrez","GeneSymbol"
18,"ABAT"
30,"ACAA1"
34,"ACADM"
35,"ACADS"
37,"ACADVL"
38,"ACAT1"
39,"ACAT2"
47,"ACLY"
50,"ACO2"
52,"ACP1"
53,"ACP2"
54,"ACP5"
87,"ACTN1"
90,"ACVR1"
97,"ACYP1"
98,"ACYP2"
100,"ADA"
113,"ADCY7"
128,"ADH5"
132,"ADK"
158,"ADSL"
159,"ADSS2"
175,"AGA"
178,"AGL"
203,"AK1"
204,"AK2"
210,"ALAD"
211,"ALAS1"
219,"ALDH1B1"
223,"ALDH9A1"
230,"ALDOC"
231,"AKR1B1"
262,"AMD1"
271,"AMPD2"
275,"AMT"
292,"SLC25A5"
293,"SLC25A6"
353,"APRT"
384,"ARG2"
427,"ASAH1"
440,"ASNS"
471,"ATIC"
476,"ATP1A1"
481,"ATP1B1"
483,"ATP1B3"
490,"ATP2B1"
493,"ATP2B4"
498,"ATP5F1A"
506,"ATP5F1B"
509,"ATP5F1C"
513,"ATP5F1D"
515,"ATP5PB"
516,"ATP5MC1"
521,"ATP5ME"
522,"ATP5PF"
523,"ATP6V1A"
526,"ATP6V1B2"
527,"ATP6V0C"
528,"ATP6V1C1"
529,"ATP6V1E1"
533,"ATP6V0B"
535,"ATP6V0A1"
549,"AUH"
586,"BCAT1"
587,"BCAT2"
593,"BCKDHA"
594,"BCKDHB"
622,"BDH1"
644,"BLVRA"
645,"BLVRB"
788,"SLC25A20"
847,"CAT"
873,"CBR1"
874,"CBR3"
890,"CCNA2"
952,"CD38"
1120,"CHKB"
1155,"TBCB"
1200,"TPP1"
1267,"CNP"
1312,"COMT"
1327,"COX4I1"
1329,"COX5B"
1337,"COX6A1"
1340,"COX6B1"
1345,"COX6C"
1347,"COX7A2"
1350,"COX7C"
1351,"COX8A"
1371,"CPOX"
1376,"CPT2"
1431,"CS"
1487,"CTBP1"
1503,"CTPS1"
1537,"CYC1"
1606,"DGKA"
1622,"DBI"
1632,"ECI1"
1635,"DCTD"
1666,"DECR1"
1717,"DHCR7"
1718,"DHCR24"
1719,"DHFR"
1723,"DHODH"
1727,"CYB5R3"
1737,"DLAT"
1738,"DLD"
1743,"DLST"
1806,"DPYD"
1808,"DPYSL2"
1836,"SLC26A2"
1854,"DUT"
1890,"TYMP"
1891,"ECH1"
2023,"ENO1"
2030,"SLC29A1"
2053,"EPHX2"
2098,"ESD"
2108,"ETFA"
2109,"ETFB"
2110,"ETFDH"
2131,"EXT1"
2171,"FABP5"
2181,"ACSL3"
2182,"ACSL4"
2194,"FASN"
2203,"FBP1"
2222,"FDFT1"
2224,"FDPS"
2235,"FECH"
2271,"FH"
2495,"FTH1"
2512,"FTL"
2517,"FUCA1"
2531,"KDSR"
2539,"G6PD"
2548,"GAA"
2584,"GALK1"
2585,"GALK2"
2590,"GALNT2"
2592,"GALT"
2595,"GANC"
2597,"GAPDH"
2618,"GART"
2632,"GBE1"
2639,"GCDH"
